carrier_number,shipment_number,shipment_date,delivery_date,delivery_reliability,feedback_reliability,non_conformance_count,transport_mode,cost_usd,region,origin_country,origin_postal_code,destination_country,destination_postal_code,distance_km,lead_time_days,co2_emission_kg,shipment_weight_kg,first_carrier_name,carrier_number_name,year_month,price_per_distance,origin_postal_code_2_digit,destination_postal_code_2_digit,lane,country_lane
CR-115-B,SHP666567,2025-01-18,2025-01-21,1,0,0,Air,19695.85,Middle East,SA,531099,TR,7384,6566.99,3,3588.83,910.83,ZIM,CR-115-B-ZIM,2025-01,0.3334199844129601,53,73,SA53-->TR73,SA-->TR
CR-436-A,SHP321062,2025-04-30,2025-05-05,1,1,0,Road,17685.1,North America,MX,57556,US,72968,1667.54,5,5195.65,17309.75,X.P.O Logistics,CR-436-A-X.P.O Logistics,2025-05,0.09429067407026254,57,72,MX57-->US72,MX-->US
CR-417-C,SHP541430,2023-08-12,2023-08-18,1,1,0,Road,27455.59,Africa,NG,879607,ZA,832293,4137.89,6,12192.55,16369.78,ZIM,CR-417-C-ZIM,2023-08,0.1507121136351468,87,83,NG87-->ZA83,NG-->ZA
CR-473-A,SHP410210,2023-10-12,2023-10-25,1,1,0,Sea,14329.13,Middle East,SA,290533,AE,543435,8375.15,13,12318.08,98052.57,XPO Logistics,CR-473-A-XPO Logistics,2023-10,0.584484194085754,29,54,SA29-->AE54,SA-->AE
CR-516-B,SHP686241,2025-06-16,2025-06-18,0,1,2,Road,279.36,Asia,KR,825977,KR,955752,230.11,2,134.18,3239.62,ZIM,CR-516-B-ZIM,2025-06,0.8237041809851088,82,95,KR82-->KR95,KR-->KR
CR-559-B,SHP503610,16-07-2025,2025-07-24,0,1,0,Road,28830.54,Europe,DE,7229,ZA,384215,6739.95,8,20801.44,17146.05,YRC Worldwide,CR-559-B-YRC Worldwide,2025-07,0.23377813943131137,72,38,DE72-->ZA38,DE-->ZA
215552,SHP368043,2025-04-17,2025-04-21,0,1,0,Road,1395.18,Latin America,CO,856393,CL,226562,3450.5,4,498.38,802.43,COSCO Shipping,215552-COSCO Shipping,2025-04,2.4731575854011667,85,22,CO85-->CL22,CO-->CL
CR-701-B,SHP369808,2023-12-24,2024-01-01,1,0,0,Road,25102.63,North America,CA,14136,ZA,721160,7942.08,8,5492.53,3842.07,ZIM,CR-701-B-ZIM,2024-01,0.31638437884795334,14,72,CA14-->ZA72,CA-->ZA
CR-183-B,SHP267880,2023-10-08,2023-10-11,1,1,0,Air,67855.64,Latin America,BR,83050,ZA,382087,11127.89,3,18418.13,2758.55,YRC Worldwide,CR-183-B-YRC Worldwide,2023-10,0.1639935899211915,83,38,BR83-->ZA38,BR-->ZA
CR-652-A,SHP527636,2024-05-28,2024-06-05,0,1,0,Sea,10622.38,Africa,ZA,847695,SA,867742,6261.42,8,3946.68,42021.08,Rhenus,CR-652-A-Rhenus,2024-06,0.589455470431297,84,86,ZA84-->SA86,ZA-->SA
CR-819-C,SHP778622,2023-04-27,2023-04-29,0,0,1,Sea,758.93,Asia,SG,650822,SG,782248,406.65,2,186.32,30546.05,HapagLloyd,CR-819-C-HapagLloyd,2023-04,0.5358201678679193,65,78,SG65-->SG78,SG-->SG
CR-596-A,SHP251981,2024-10-29,2024-10-30,1,1,0,Sea,838.87,Latin America,BR,89879,BR,69636,413.8,1,181.77,29285.21,ZIM,CR-596-A-ZIM,2024-10,0.4932826302049185,89,69,BR89-->BR69,BR-->BR
CR-430-C,SHP391248,2025-09-05,2025-09-07,0,0,0,Rail,3252.87,Europe,SE,9074,PL,2163,1856.86,2,861.47,15464.59,XPO Logistics,CR-430-C-XPO Logistics,2025-09,0.570837445086954,90,21,SE90-->PL21,SE-->PL
CR-500-C,SHP151784,2025-10-21,2025-10-25,1,1,0,Road,8627.5,Asia,CN,892671,JP,694422,1679.85,4,5280.65,17464.01,TNT,CR-500-C-TNT,2025-10,0.19470878006374961,89,69,CN89-->JP69,CN-->JP
CR-485-B,SHP517524,2023-07-02,2023-07-08,1,1,0,Road,7757.605,Africa,NG,419330,IN,842422,6897.79,6,29414.05,23690.39,ZIM,CR-485-B-ZIM,2023-07,0.8891648904526591,41,84,NG41-->IN84,NG-->IN
522242,SHP708854,2025-08-22,2025-08-27,0,1,0,Road,2684.57,Africa,EG,141401,NG,908764,6652.09,5,1585.77,1324.37,DB Schenker,522242-DB Schenker,2025-08,2.477897763887699,14,90,EG14-->NG90,EG-->NG
CR-163-C,SHP151257,2023-07-14,2023-07-21,0,0,1,Sea,6408.34,Africa,KE,832323,JP,343409,4180.87,7,4640.5,73995.65,Royal Mail,CR-163-C-Royal Mail,2023-07,0.6524107647222214,83,34,KE83-->JP34,KE-->JP
CR-570-A,SHP211228,2025-01-16,2025-01-19,0,1,0,Air,4264.3,Asia,KR,912647,CN,443072,1241.0,3,1315.01,1766.06,Royal Mail,CR-570-A-Royal Mail,2025-01,0.291020800600333,91,44,KR91-->CN44,KR-->CN
CR-936-C,SHP420179,2024-11-12,2024-11-14,0,1,2,Air,48191.66,Africa,NG,716759,PE,527573,4323.03,2,10325.09,3980.66,YRC Worldwide,CR-936-C-YRC Worldwide,2024-11,0.08970494064740661,71,52,NG71-->PE52,NG-->PE
989538,SHP892678,2025-06-05,2025-06-07,1,1,0,Air,29994.43,Latin America,CL,564647,CO,616049,4893.6,2,7919.61,2697.27,USPS,989538-USPS,2025-06,0.16315029157080166,56,61,CL56-->CO61,CL-->CO
CR-490-A,SHP109687,2024-08-21,2024-08-24,0,0,0,Road,10691.56,North America,US,60648,CA,51789,1859.52,3,4253.88,12709.01,XPO Logistics,CR-490-A-XPO Logistics,2024-08,0.17392410462084112,60,51,US60-->CA51,US-->CA
CR-476-C,SHP132120,2025-05-31,2025-06-01,0,0,3,Road,96.6,North America,MX,30114,MX,43214,57.73,1,10.88,1047.35,SFExpress,CR-476-C-SFExpress,2025-06,0.5976190476190476,30,43,MX30-->MX43,MX-->MX
CR-438-C,SHP739474,2023-08-19,2023-08-21,0,0,3,Rail,1268.56,Asia,KR,915270,JP,600205,963.86,2,629.12,21757.03,ZIM,CR-438-C-ZIM,2023-08,0.7598063946522041,91,60,KR91-->JP60,KR-->JP
CR-727-B,SHP842772,2024-07-11,2024-07-13,0,1,0,Air,60227.71,Asia,IN,769669,AR,876922,7873.48,2,12396.32,2624.07,YRC Worldwide,CR-727-B-YRC Worldwide,2024-07,0.13072853010682292,76,87,IN76-->AR87,IN-->AR
523809,SHP799347,2024-05-09,2024-05-18,0,1,0,Road,22085.49,Africa,EG,511349,KE,491682,9229.27,9,5061.73,3046.91,UPS,523809-UPS,2024-05,0.4178883964086828,51,49,EG51-->KE49,EG-->KE
CR-928-B,SHP450739,2023-08-18,2023-08-26,0,0,0,Rail,23850.13,Latin America,PE,391628,SA,491220,9030.79,8,4092.17,15104.51,YRC Worldwide,CR-928-B-YRC Worldwide,2023-08,0.3786474119847565,39,49,PE39-->SA49,PE-->SA
CR-716-C,SHP310329,2025-03-05,2025-03-18,0,1,1,Sea,9173.52,Africa,ZA,667454,KE,519301,9665.71,13,7347.8,50679.49,USPS,CR-716-C-USPS,2025-03,1.0536533413564257,66,51,ZA66-->KE51,ZA-->KE
CR-254-A,SHP575462,2023-06-11,2023-06-15,0,0,0,Rail,3152.71,Asia,IN,658672,JP,530616,1558.88,4,553.26,11830.28,ZIM,CR-254-A-ZIM,2023-06,0.49445714956339154,65,53,IN65-->JP53,IN-->JP
CR-469-A,SHP670031,2024-05-29,2024-06-10,1,1,3,Rail,16540.0,Europe,ES,4899,IN,617228,10754.16,12,4622.13,14326.66,ZIM,CR-469-A-ZIM,2024-06,0.6501910519951632,48,61,ES48-->IN61,ES-->IN
CR-517-A,SHP743914,2024-01-28,2024-02-01,1,1,0,Rail,3095.94,Asia,CN,478048,SG,587792,1705.7,4,966.97,18896.89,ZIM,CR-517-A-ZIM,2024-02,0.5509473697810681,47,58,CN47-->SG58,CN-->SG
CR-457-B,SHP381129,2025-03-31,2025-04-09,0,0,0,Rail,9285.2,Africa,NG,165148,PE,976065,8876.11,9,8026.27,30141.84,YRC Worldwide,CR-457-B-YRC Worldwide,2025-04,0.9559417136949123,16,97,NG16-->PE97,NG-->PE
871448,SHP706249,2023-12-04,2023-12-07,0,0,1,Sea,2023.06,Africa,NG,996986,NG,824090,753.59,3,814.9,72090.17,Maersk,871448-Maersk,2023-12,0.37250007414510694,99,82,NG99-->NG82,NG-->NG
CR-705-B,SHP284928,2024-06-28,2024-07-01,0,0,0,Air,30618.36,Middle East,TR,1347,PE,810380,4551.83,3,8324.3,3047.97,YRC Worldwide,CR-705-B-YRC Worldwide,2024-07,0.1486634163292874,13,81,TR13-->PE81,TR-->PE
CR-284-C,SHP404598,2024-06-15,2024-06-17,1,0,0,Air,37504.23,Africa,EG,101657,ZA,223949,3789.03,2,8261.98,3634.17,USPS,CR-284-C-USPS,2024-06,0.10102940388324197,10,22,EG10-->ZA22,EG-->ZA
CR-326-A,SHP883280,2025-09-02,2025-09-10,1,1,0,Road,69310.14,Latin America,PE,131067,BR,65056,8648.25,8,23094.22,14835.52,XPO Logistics,CR-326-A-XPO Logistics,2025-09,0.12477611501001153,13,65,PE13-->BR65,PE-->BR
CR-388-B,SHP635696,2023-06-15,2023-06-18,1,1,0,Road,7757.605,Europe,IT,3619,ES,4302,1603.57,3,648.04,2245.12,YRC Worldwide,CR-388-B-YRC Worldwide,2023-06,0.2067094161148963,36,43,IT36-->ES43,IT-->ES
CR-951-B,SHP260179,2024-02-06,2024-02-10,1,1,0,Rail,4994.85,Europe,BE,1397,TR,4760,1489.7,4,1520.09,34013.4,XPO Logistics,CR-951-B-XPO Logistics,2024-02,0.29824719461044874,13,47,BE13-->TR47,BE-->TR
534857,SHP828461,2024-10-23,2024-10-26,0,0,0,Air,1182.29,North America,US,65681,US,97625,224.97,3,343.51,2544.84,COSCO,534857-COSCO,2024-10,0.190283263835438,65,97,US65-->US97,US-->US
CR-933-A,SHP128442,2024-05-30,2024-02-06,1,1,0,Air,74178.92,Asia,IN,899856,TR,5240,10618.85,3,28267.43,4436.67,YRC Worldwide,CR-933-A-YRC Worldwide,2024-02,0.14315185500139394,89,52,IN89-->TR52,IN-->TR
CR-525-A,SHP898754,2024-01-19,2024-01-24,1,0,0,Sea,3374.94,Europe,DE,1094,NL,2942,1887.04,5,1016.6,35915.25,SF Express,CR-525-A-SF Express,2024-01,0.5591329031034625,10,29,DE10-->NL29,DE-->NL
CR-647-A,SHP937856,2023-07-07,2023-07-10,0,1,0,Air,31870.07,Asia,CN,910316,PE,290767,5434.32,3,9701.33,2.975,YRC Worldwide,CR-647-A-YRC Worldwide,2023-07,0.17051484355070445,91,29,CN91-->PE29,CN-->PE
CR-959-A,SHP919550,2024-06-21,2024-07-02,0,1,0,Sea,19380.17,Asia,IN,797221,CA,54268,7447.46,11,6184.64,55362.46,YRC Worldwide,CR-959-A-YRC Worldwide,2024-07,0.3842824908140641,79,54,IN79-->CA54,IN-->CA
CR-531-A,SHP738567,2023-08-03,2023-08-12,0,1,1,Road,3289.62,Latin America,BR,60797,PE,895027,7493.45,9,1447.83,1073.4,UPS,CR-531-A-UPS,2023-08,2.2779074786753486,60,89,BR60-->PE89,BR-->PE
CR-836-B,SHP435516,2024-02-20,2024-03-02,1,0,0,Sea,16585.48,Asia,CN,429618,IL,241203,7019.06,11,7708.03,73210.48,Royal Mail,CR-836-B-Royal Mail,2024-03,0.4232051167647847,42,24,CN42-->IL24,CN-->IL
CR-103-C,SHP577854,2024-07-11,2024-07-15,1,0,3,Road,1595.41,Middle East,IL,191437,AE,383480,3645.75,4,296.72,452.15,Nippon Express,CR-103-C-Nippon Express,2024-07,2.2851492719739754,19,38,IL19-->AE38,IL-->AE
CR-561-B,SHP560365,2023-01-22,2023-01-28,0,0,0,Sea,17028.4,Middle East,SA,544817,AE,575225,3675.28,6,5429.08,98479.27,YRC Worldwide,CR-561-B-YRC Worldwide,2023-01,0.21583237415141762,54,57,SA54-->AE57,SA-->AE
CR-812-C,SHP151064,2023-06-24,2023-07-05,1,0,0,Rail,28005.33,Latin America,CO,298555,BR,51382,8299.99,11,8930.17,35864.17,ZIM,CR-812-C-ZIM,2023-07,0.2963717977970622,29,51,CO29-->BR51,CO-->BR
CR-255-B,SHP436292,2024-02-16,2024-02-23,0,1,3,Rail,13459.69,Africa,ZA,537740,EG,118878,7129.21,7,4511.59,21094.39,XPO Logistics,CR-255-B-XPO Logistics,2024-02,0.5296711885637782,53,11,ZA53-->EG11,ZA-->EG
963359,SHP653764,2023-09-13,2023-09-16,1,0,0,Sea,6184.5,North America,MX,15551,CA,89609,1612.44,3,2287.94,94595.31,Kuehne + Nagel,963359-Kuehne + Nagel,2023-09,0.2607227746786321,15,89,MX15-->CA89,MX-->CA
CR-584-B,SHP833706,2025-05-08,2025-05-15,1,0,2,Road,29291.57,Asia,IN,429211,SA,294137,6976.87,7,28308.49,22541.55,XPO Logistics,CR-584-B-XPO Logistics,2025-05,0.23818695959281116,42,29,IN42-->SA29,IN-->SA
CR-728-C,SHP641082,2024-06-06,2024-06-09,0,1,0,Road,5060.04,Asia,SG,489560,IN,990773,1944.93,3,1338.52,3823.38,ZIM,CR-728-C-ZIM,2024-06,0.38437047928474877,48,99,SG48-->IN99,SG-->IN
242659,SHP640423,2023-11-27,2023-11-28,1,1,0,Air,24265.76,Middle East,AE,990133,AR,733423,3142.41,1,7918.7,4199.9,YRC Worldwide,242659-YRC Worldwide,2023-11,0.12949975603484087,99,73,AE99-->AR73,AE-->AR
854497,SHP331552,2024-03-17,2024-03-22,1,1,0,Rail,4651.3,Africa,NG,548902,KE,180541,4194.35,5,1082.93,8606.26,Hapag-Lloyd,854497-Hapag-Lloyd,2024-03,0.9017586481198805,54,18,NG54-->KE18,NG-->KE
CR-460-C,SHP628810,2023-03-22,2023-03-25,0,0,0,Air,29520.7,Latin America,PE,382224,BE,1448,4202.16,3,7808.41,3096.98,US Postal Service,CR-460-C-US Postal Service,2023-03,0.1423462180774846,38,14,PE38-->BE14,PE-->BE
687115,SHP934758,2025-09-08,2025-09-10,0,1,0,Rail,1972.44,Europe,DE,8367,DE,7314,587.63,2,704.06,39938.09,Y.R.C,687115-Y.R.C,2025-09,0.29792034231713005,83,73,DE83-->DE73,DE-->DE
CR-353-A,SHP555825,09-03-2025,2025-03-14,1,0,0,Road,2571.96,Middle East,IL,387235,SA,482607,3180.0,5,771.65,1348.1,ups,CR-353-A-ups,2025-03,1.2364111416973824,38,48,IL38-->SA48,IL-->SA
CR-771-B,SHP333620,2024-06-13,2024-06-14,0,1,0,Road,127.7,Middle East,AE,587161,AE,624619,173.15,1,15.64,501.9,UPS,CR-771-B-UPS,2024-06,1.355912294440094,58,62,AE58-->AE62,AE-->AE
270577,867661,2024-08-09,2024-08-14,1,0,0,Rail,11568.2,North America,US,21053,DE,2611,4657.05,5,2484.08,17780.04,FedEx,270577-FedEx,2024-08,0.40257343406925883,21,26,US21-->DE26,US-->DE
CR-803-B,SHP675358,2025-06-21,2025-06-26,1,1,0,Road,34439.64,Latin America,CO,377849,PE,647653,7312.72,5,20819.64,15816.93,Maersk,CR-803-B-Maersk,2025-06,0.21233439141640273,37,64,CO37-->PE64,CO-->PE
CR-635-C,SHP956411,2024-07-16,2024-07-20,1,1,0,Sea,2082.43,Europe,SE,8288,DE,7455,1524.27,4,921.72,40313.2,ZIM Integrated Shipping,CR-635-C-ZIM Integrated Shipping,2024-07,0.7319669808829109,82,74,SE82-->DE74,SE-->DE
175923,SHP635543,29-05-2024,2024-06-11,0,1,0,Sea,20672.61,Asia,JP,120896,US,77847,8758.96,13,9100.51,69266.29,Hapag-Lloyd,175923-Hapag-Lloyd,2024-06,0.42369879758772594,12,77,JP12-->US77,JP-->US
CR-864-B,SHP505474,2023-09-15,2023-09-17,1,0,0,Rail,3452.29,North America,MX,51914,CA,72580,1722.2,2,992.59,19211.64,ups,CR-864-B-ups,2023-09,0.49885728024007253,51,72,MX51-->CA72,MX-->CA
CR-242-C,SHP389928,2023-07-01,2023-07-07,1,0,0,Road,1808.39,Middle East,SA,216476,SE,4975,4707.88,6,391.83,462.38,ZIM,CR-242-C-ZIM,2023-07,2.603354364932343,21,49,SA21-->SE49,SA-->SE
667177,SHP359315,2024-05-15,2024-05-30,0,0,0,Sea,15808.99,Latin America,CO,52386,AR,980119,11979.3,15,12990.83,72295.99,TNT,667177-TNT,2024-05,0.7577523927841057,52,98,CO52-->AR98,CO-->AR
CR-664-C,SHP143430,2024-02-20,2024-02-23,1,0,0,Rail,693.8,Middle East,SA,908953,SA,468927,235.77,3,148.63,21013.3,Zim,CR-664-C-Zim,2024-02,0.3398241568175267,90,46,SA90-->SA46,SA-->SA
CR-665-A,SHP485432,06-07-2025,2025-07-16,0,0,0,Rail,16858.43,Asia,SG,733446,NL,6035,10591.77,10,7628.71,24008.3,ZIM,CR-665-A-ZIM,2025-07,0.6282773662790664,73,60,SG73-->NL60,SG-->NL
CR-395-C,SHP556912,2023-10-16,2023-10-24,0,0,0,Road,19989.85,Latin America,CL,709635,PE,291752,8823.77,8,4703.16,2961.17,db schenker,CR-395-C-db schenker,2023-10,0.4414125168523026,70,29,CL70-->PE29,CL-->PE
CR-287-A,SHP779067,2025-08-23,2025-09-06,0,0,1,Sea,9114.25,Middle East,SA,681253,CA,11964,11487.47,14,5431.91,31523.69,ZIM,CR-287-A-ZIM,2025-09,1.2603856598184162,68,11,SA68-->CA11,SA-->CA
CR-115-C,SHP701058,2025-05-07,2025-05-22,1,1,0,Sea,15491.87,Middle East,AE,725924,IN,875096,10288.19,15,12013.48,77846.45,TNT,CR-115-C-TNT,2025-05,0.6641025260346233,72,87,AE72-->IN87,AE-->IN
CR-609-A,SHP849766,2024-12-28,2024-12-30,0,1,0,Rail,1279.57,North America,US,89013,CA,25977,995.33,2,506.43,16960.37,Royal Mail,CR-609-A-Royal Mail,2024-12,0.7778628758098425,89,25,US89-->CA25,US-->CA
CR-758-A,SHP692135,2024-05-16,2024-05-18,1,0,0,Sea,4215.68,Asia,JP,803437,KR,419430,1234.45,2,1483.76,80130.33,USPS,CR-758-A-USPS,2024-05,0.29282345908607865,80,41,JP80-->KR41,JP-->KR
CR-825-A,SHP178428,2025-10-18,2025-10-23,1,1,0,Sea,5358.58,Africa,ZA,232880,US,53176,3080.09,5,2319.6,50206.45,ZIM,CR-825-A-ZIM,2025-10,0.5747959347439061,23,53,ZA23-->US53,ZA-->US
320994,SHP798287,2024-02-17,2024-02-26,1,0,0,Road,13451.74,Asia,KR,502517,SE,2073,8941.0,9,3258.09,2024.44,RoyalMail,320994-RoyalMail,2024-02,0.6646723769564383,50,20,KR50-->SE20,KR-->SE
875256,SHP930617,2023-05-18,2023-05-23,1,1,0,Sea,4020.71,Asia,SG,337939,IN,951741,1901.57,5,1491.57,52292.62,Evergreen Marine,875256-Evergreen Marine,2023-05,0.4729438333030733,33,95,SG33-->IN95,SG-->IN
CR-871-C,SHP897124,2023-08-12,2023-08-14,1,0,2,Rail,2595.15,North America,US,20924,US,21835,723.52,2,858.19,39537.68,YRC Worldwide,CR-871-C-YRC Worldwide,2023-08,0.27879698668670405,20,21,US20-->US21,US-->US
CR-809-B,SHP549209,2023-05-14,2023-05-30,1,0,0,Sea,11613.5,Middle East,TR,2860,SA,919784,10885.06,16,4824.76,29549.73,YRC Worldwide,CR-809-B-YRC Worldwide,2023-05,0.9372764455159943,28,91,TR28-->SA91,TR-->SA
CR-794-A,SHP925818,2024-08-20,2024-08-24,0,0,0,Air,33847.51,Asia,KR,771495,CO,706862,8991.1,4,12120.67,2246.79,YRC Worldwide,CR-794-A-YRC Worldwide,2024-08,0.26563549283241217,77,70,KR77-->CO70,KR-->CO
CR-894-A,SHP650901,2024-06-28,2024-07-06,0,1,0,Road,79318.33,Africa,ZA,336601,KE,160747,10084.23,8,45252.85,24930.49,YRC Worldwide,CR-894-A-YRC Worldwide,2024-07,0.1271361865535999,33,16,ZA33-->KE16,ZA-->KE
CR-120-C,SHP558989,2023-10-03,2023-10-11,0,0,0,Sea,17548.98,Latin America,CL,710174,US,10824,4794.35,8,7102.52,98762.37,XPO Logistics,CR-120-C-XPO Logistics,2023-10,0.27319821436915426,71,10,CL71-->US10,CL-->US
CR-501-B,SHP342730,30-03-2023,2023-04-05,1,0,0,Road,21546.97,Asia,IN,923661,NG,892279,7745.61,6,4780.13,3428.56,ZIM Integrated Shipping,CR-501-B-ZIM Integrated Shipping,2023-04,0.35947560144187324,92,89,IN92-->NG89,IN-->NG
CR-800-A,SHP369393,2024-04-21,2024-04-29,0,1,0,Sea,5440.62,Europe,DE,3865,MX,37428,5094.33,8,2516.14,32927.37,ZIM,CR-800-A-ZIM,2024-04,0.9363510041135018,38,37,DE38-->MX37,DE-->MX
CR-707-A,SHP435675,2023-08-15,2023-08-25,0,0,0,Sea,22526.66,Asia,JP,967832,TR,7900,7001.18,10,9296.3,88521.24,YRC Worldwide,CR-707-A-YRC Worldwide,2023-08,0.31079529766063857,96,79,JP96-->TR79,JP-->TR
CR-263-B,SHP117483,2025-04-22,2025-04-24,1,0,0,Road,11756.83,Asia,CN,220943,SG,582217,1522.69,2,6715.3,24500.79,UPS,CR-263-B-UPS,2025-04,0.1295153540537713,22,58,CN22-->SG58,CN-->SG
966450,SHP151900,2025-07-21,2025-07-29,0,0,0,Sea,14534.71,Latin America,BR,67639,IT,3554,6081.13,8,4614.29,50585.95,CEVA Logistics,966450-CEVA Logistics,2025-07,0.418386744558371,67,35,BR67-->IT35,BR-->IT
CR-502-C,SHP971903,2023-08-24,2023-08-28,0,1,0,Rail,9071.16,Middle East,SA,441783,IL,428148,3598.57,4,3946.67,36557.82,Nippon Express,CR-502-C-Nippon Express,2023-08,0.39670450085766323,44,42,SA44-->IL42,SA-->IL
223609,SHP227285,2023-12-14,2023-12-20,0,0,0,Road,754.11,North America,CA,93888,IL,383503,5359.41,6,319.12,330.8,USPS,223609-USPS,2023-12,7.106934001670844,93,38,CA93-->IL38,CA-->IL
204733,SHP254472,2025-05-27,2025-06-09,0,1,1,Rail,36789.97,Asia,CN,373683,KE,715221,10965.93,13,11324.08,34421.99,DB Cargo,204733-DB Cargo,2025-06,0.2980684681178049,37,71,CN37-->KE71,CN-->KE
CR-921-C,SHP727322,2023-06-09,2023-06-17,0,0,0,Sea,13296.02,Africa,ZA,567885,KE,348628,6457.01,8,8617.69,88975.03,UPS,CR-921-C-UPS,2023-06,0.4856347989849594,56,34,ZA56-->KE34,ZA-->KE
CR-343-B,SHP649995,2024-06-15,2024-06-16,0,1,0,Air,10168.51,Europe,IT,8862,DE,5604,1770.49,1,2432.84,2290.17,TNT,CR-343-B-TNT,2024-06,0.1741149883316238,88,56,IT88-->DE56,IT-->DE
CR-755-C,SHP870563,2023-05-12,2023-05-14,0,0,2,Air,3940.3,Europe,ES,5190,IN,593056,5577.17,2,762.27,227.79,ZIM,CR-755-C-ZIM,2023-05,1.4154176077963607,51,59,ES51-->IN59,ES-->IN
CR-690-A,SHP270585,2024-08-31,2024-09-01,1,1,1,Air,5571.87,North America,MX,18003,MX,75149,474.48,1,1266.07,4447.24,XPO Logistics,CR-690-A-XPO Logistics,2024-09,0.08515632992155238,18,75,MX18-->MX75,MX-->MX
484487,SHP849455,2025-02-01,2025-02-02,1,1,0,Air,27794.8,Africa,ZA,263540,IN,816320,6369.91,1,6945.41,1817.25,USPS,484487-USPS,2025-02,0.229176320750644,26,81,ZA26-->IN81,ZA-->IN
CR-744-A,SHP823935,2024-11-10,2024-11-17,0,0,2,Sea,4593.21,Latin America,PE,127446,US,88898,3173.13,7,2659.33,55871.81,XPO Logistics,CR-744-A-XPO Logistics,2024-11,0.6908305955965436,12,88,PE12-->US88,PE-->US
CR-125-C,SHP765902,2024-11-17,2024-11-26,1,0,0,Rail,21227.15,Europe,PL,5745,CN,556206,8587.41,9,7569.85,29383.54,Evergreen Marine,CR-125-C-Evergreen Marine,2024-11,0.4045484203013593,57,55,PL57-->CN55,PL-->CN
