carrier_name,carrier_number,shipment_number,shipment_date,delivery_date,delivery_reliability,feedback_reliability,non_conformance_count,transport_mode,shipment_weight_kg,cost_usd,status,region,origin_country,origin_postal_code,destination_country,destination_postal_code,distance_km,lead_time_days,co2_emission_kg,remarks,data_entry_source
Kuehne & Nagel,CR-457-B,SHP381129,2025-03-31,2025-04-09,0,0,0,Rail,30141.84,9285.2,Delivered,Africa,NG,165148,PE,976065,8876.11,9,8026.27,SLA breach,Portal
Maersk,871448,SHP706249,2023-12-04,2023-12-07,0,0,1,sea,72090.17,2023.06,Returned,Africa,NG,996986,NG,824090,753.59,3,814.9,Documentation missing,Email
Rhenus,CR-705-B,SHP284928,2024-06-28,2024-07-01,0,0,0,Air,3047.97,30618.36,Cancelled,Middle East,TR,1347,PE,810380,4551.83,3,8324.3,No issues,Manual
Nippon Express,CR-284-C,SHP404598,2024-06-15,2024-06-17,1,0,0,Air,3634.17,37504.23,In Transit,Africa,EG,101657,ZA,223949,3789.03,2,8261.98,Left at front desk,Portal
Royal Mail,CR-326-A,SHP883280,2025-09-02,2025-09-10,1,1,0,Road,14835.52,69310.14,Returned,Latin America,PE,131067,BR,65056,8648.25,8,23094.22,Documentation missing,Manual
COSCO,CR-388-B,SHP635696,2023-06-15,2023-06-18,1,1,0,Road,2245.12,N/A,Cancelled,Europe,IT,3619,ES,4302,1603.57,3,648.04,Partial delivery,API
COSCO,CR-951-B,SHP260179,2024-02-06,2024-02-10,1,1,0,Rail,34013.4,4994.85,Cancelled,Europe,BE,1397,TR,4760,1489.7,4,1520.09,Left at front desk,API
COSCO,534857,SHP828461,2024-10-23,2024-10-26,0,0,0,Air,2544.84,$1182.29,Returned,North America,US,65681,US,97625,224.97,3,343.51,Partial delivery,Portal
USPS,CR-933-A,SHP128442,2024-05-30,06/02/2024,1,Provided,0,Air,4436.67,74178.92,Returned,Asia,IN,899856,TR,5240,10618.85,3,28267.43,Customs hold,Email
Rhenus Logistics,CR-525-A,SHP898754,2024-01-19,2024-01-24,1,0,0,Sea,35915.25,3374.94,Cancelled,Europe,DE,1094,NL,2942,1887.04,5,1016.6,SLA breach,Manual
UPS,CR-647-A,SHP937856,2023-07-07,2023-07-10,0,1,0,Air,2975 g,31870.07,Cancelled,Asia,CN,910316,PE,290767,5434.32,3,9701.33,Left at front desk,Portal
CEVA Logistics,CR-959-A,SHP919550,2024-06-21,2024-07-02,0,1,0,Sea,55362.46,19380.17,Delayed,Asia,IN,797221,CA,54268,7447.46,11,6184.64,No issues,Portal
Hapag-Lloyd,CR-531-A,SHP738567,2023-08-03,2023-08-12,0,1,1,Road,1073.4,3289.62,In Transit,Latin America,BR,60797,PE,895027,7493.45,9,1447.83,Left at front desk,Manual
Royal Mail,CR-836-B,SHP435516,2024-02-20,2024-03-02,1,0,0,Sea,73210.48,16585.48,Delayed,Asia,CN,429618,IL,241203,7019.06,11,7708.03,No issues,API
COSCO,CR-103-C,SHP577854,2024-07-11,2024-07-15,1,0,3,Road,452.15 kg,1595.41,Returned,Middle East,IL,191437,AE,383480,3645.75,4,296.72,Documentation missing,API
YRC Worldwide,CR-561-B,SHP560365,2023-01-22,2023-01-28,0,0,0,Sea,98479.27,17028.4,Delivered,Middle East,SA,544817,AE,575225,3675.28,6,5429.08,Documentation missing,API
FedEx,CR-812-C,SHP151064,2023-06-24,2023-07-05,1,0,0,Rail,35864.17,28005.33,Delivered,Latin America,CO,298555,BR,51382,8299.99,11,8930.17,SLA breach,Portal
USPS,CR-255-B,SHP436292,2024-02-16,2024-02-23,0,1,3,Rail,21094.39,13459.69,Delayed,Africa,ZA,537740,EG,118878,7129.21,7,4511.59,No issues,EDI
Kuehne + Nagel,963359,SHP653764,2023-09-13,2023-09-16,1,0,0,sea,94595.31,6184.5,Returned,North America,MX,15551,CA,89609,1612.44,3,2287.94,No issues,Manual
DHL,CR-584-B,SHP833706,2025-05-08,2025-05-15,1,0,2,Road,22541.55,29291.57,Returned,Asia,IN,429211,SA,294137,6976.87,7,28308.49,SLA breach,API
Nippon,CR-728-C,SHP641082,2024-06-06,2024-06-09,0,1,0,Road,3823.38,$5060.04,Cancelled,Asia,SG,489560,IN,990773,1944.93,3,1338.52,No issues,EDI
YRC Worldwide,242659,SHP640423,2023-11-27,2023-11-28,1,1,0,Air,4199.9,24265.76,Delayed,Middle East,AE,990133,AR,733423,3142.41,1,7918.7,Customs hold,API
Hapag-Lloyd,854497,SHP331552,2024-03-17,2024-03-22,1,1,0,Rail,8606.26,4651.3,Delivered,Africa,NG,548902,KE,180541,4194.35,5,1082.93,Left at front desk,Email
Rhenus,CR-460-C,SHP628810,2023-03-22,2023-03-25,0,0,0,Air,3096.98,29520.7,Cancelled,Latin America,PE,382224,BE,1448,4202.16,3,7808.41,Documentation missing,Manual
Y.R.C,687115,SHP934758,2025-09-08,2025-09-10,0,1,0,Rail,39938.09,1972.44,In Transit,Europe,DE,8367,DE,7314,587.63,2,704.06,Left at front desk,Portal
CEVA Logistics,CR-353-A,SHP555825,09-03-2025,2025-03-14,1,0,0,Road,1348.1,2571.96,Delivered,Middle East,IL,387235,SA,482607,3180.0,5,771.65,Documentation missing,EDI
Maersk Sealand,CR-771-B,SHP333620,2024-06-13,2024-06-14,0,1,0,Road,501.9,127.7,Delivered,Middle East,AE,587161,AE,624619,173.15,1,15.64,Documentation missing,Email
FedEx,270577,867661,2024-08-09,2024-08-14,Yes,0,0,Rail,17780.04,11568.2,Delayed,North America,US,21053,DE,2611,4657.05,5,2484.08,Left at front desk,Portal
Kuehne + Nagel,CR-803-B,SHP675358,2025-06-21,2025-06-26,1,1,0,Road,15816.93 kg,34439.64,Cancelled,Latin America,CO,377849,PE,647653,7312.72,5,20819.64,SLA breach,Portal
DB Cargo,CR-635-C,SHP956411,2024-07-16,2024-07-20,1,1,0,Sea,40313.2,2082.43,Delayed,Europe,SE,8288,DE,7455,1524.27,4,921.72,Left at front desk,Portal
Hapag-Lloyd,175923,SHP635543,29-05-2024,2024-06-11,0,1,0,Sea,69266.29,20672.61,Delivered,Asia,JP,120896,US,77847,8758.96,13,9100.51,No issues,API
USPS,CR-864-B,SHP505474,2023-09-15,2023-09-17,1,0,0,Rail,19211.64,3452.29,In Transit,North America,MX,51914,CA,72580,1722.2,2,992.59,Customs hold,Manual
Hapag-Lloyd,CR-242-C,SHP389928,2023-07-01,2023-07-07,1,0,0,Road,462.38,1808.39,Cancelled,Middle East,SA,216476,SE,4975,4707.88,6,391.83,Documentation missing,Email
TNT,667177,SHP359315,2024-05-15,2024-05-30,0,0,0,Sea,72295.99,15808.99,Delayed,Latin America,CO,52386,AR,980119,11979.3,15,12990.83,Documentation missing,Email
XPO Logistics,CR-664-C,SHP143430,2024-02-20,2024-02-23,1,0,0,Rail,21013.3,693.8,Cancelled,Middle East,SA,908953,SA,468927,235.77,3,148.63,SLA breach,API
XPO Logistics,CR-665-A,SHP485432,06-07-2025,2025-07-16,0,0,0,Rail,24008.3,16858.43,Returned,Asia,SG,733446,NL,6035,10591.77,10,7628.71,Partial delivery,API
SF Express,CR-395-C,SHP556912,2023-10-16,2023-10-24,0,0,0,Road,2961.17,19989.85,Delayed,Latin America,CL,709635,PE,291752,8823.77,8,4703.16,Partial delivery,API
Hapag-Lloyd,CR-287-A,SHP779067,2025-08-23,2025-09-06,No,0,Yes,Sea,31523.69,9114.25,Delivered,Middle East,SA,681253,CA,11964,11487.47,14,5431.91,Documentation missing,API
Rhenus,CR-115-C,SHP701058,2025-05-07,2025-05-22,1,1,0,Sea,77846.45,15491.87,In Transit,Middle East,AE,725924,IN,875096,10288.19,15,12013.48,Partial delivery,EDI
Royal Mail,CR-609-A,SHP849766,2024-12-28,2024-12-30,0,1,0,Rail,16960.37,1279.57,Delivered,North America,US,89013,CA,25977,995.33,2,506.43,Documentation missing,API
Hapag-Lloyd,CR-758-A,SHP692135,2024-05-16,2024-05-18,1,0,0,Sea,80130.33,4215.68,Delivered,Asia,JP,803437,KR,419430,1234.45,2,1483.76,No issues,Email
Rhenus,CR-825-A,SHP178428,2025-10-18,2025-10-23,1,1,0,Sea,50206.45,5358.58,Delayed,Africa,ZA,232880,US,53176,3080.09,5,2319.6,No issues,Manual
RoyalMail,320994,SHP798287,2024-02-17,2024-02-26,Yes,0,0,Road,2024.44,13451.74,Delivered,Asia,KR,502517,SE,2073,8941.0,9,3258.09,Partial delivery,EDI
Evergreen Marine,875256,SHP930617,2023-05-18,2023-05-23,1,1,0,Sea,52292.62,4020.71,In Transit,Asia,SG,337939,IN,951741,1901.57,5,1491.57,Customs hold,Manual
United Parcel Service,CR-871-C,SHP897124,2023-08-12,2023-08-14,1,0,2,Rail,39537.68,2595.15,Cancelled,North America,US,20924,US,21835,723.52,2,858.19,Documentation missing,API
US Postal Service,CR-809-B,SHP549209,2023-05-14,2023-05-30,1,0,0,Sea,29549.73,11613.5,Delayed,Middle East,TR,2860,SA,919784,10885.06,16,4824.76,SLA breach,Manual
SF Express,CR-794-A,SHP925818,2024-08-20,2024-08-24,0,0,0,air,2246.79,33847.51,Cancelled,Asia,KR,771495,CO,706862,8991.1,4,12120.67,Customs hold,EDI
UPS,CR-894-A,SHP650901,2024-06-28,2024-07-06,0,1,0,Road,24930.49,79318.33,Delayed,Africa,ZA,336601,KE,160747,10084.23,8,45252.85,Left at front desk,API
TNT,CR-120-C,SHP558989,2023-10-03,2023-10-11,0,0,0,Sea,98762.37,17548.98,Delayed,Latin America,CL,710174,US,10824,4794.35,8,7102.52,Customs hold,Portal
SF Express,CR-501-B,SHP342730,30-03-2023,2023-04-05,Yes,0,0,Road,3428.56,21546.97,In Transit,Asia,IN,923661,NG,892279,7745.61,6,4780.13,Partial delivery,API
SF Express,CR-800-A,SHP369393,2024-04-21,04/29/2024,0,1,0,Sea,32927.37,5440.62,Delivered,Europe,DE,3865,MX,37428,5094.33,8,2516.14,Left at front desk,Email
UPS,CR-707-A,SHP435675,2023-08-15,2023-08-25,0,0,0,Sea,88521.24,22526.66,Delivered,Asia,JP,967832,TR,7900,7001.18,10,9296.3,Documentation missing,Portal
UPS,CR-263-B,SHP117483,2025-04-22,2025-04-24,1,0,0,Road,24500.79,11756.83,Cancelled,Asia,CN,220943,SG,582217,1522.69,2,6715.3,Customs hold,API
CEVA Logistics,966450,SHP151900,2025-07-21,2025-07-29,0,0,0,Sea,50585.95,14534.71,Delivered,Latin America,BR,67639,IT,3554,6081.13,8,4614.29,SLA breach,Email
Evergreen Marine,CR-502-C,SHP971903,2023-08-24,2023-08-28,0,1,0,Rail,36557.82,9071.16,Cancelled,Middle East,SA,441783,IL,428148,3598.57,4,3946.67,Left at front desk,Portal
USPS,223609,SHP227285,2023-12-14,2023-12-20,0,0,0,Road,330.8,754.11,Returned,North America,CA,93888,IL,383503,5359.41,6,319.12,Left at front desk,Email
DB Cargo,204733,SHP254472,2025-05-27,2025-06-09,0,1,1,Rail,34421.99,36789.97,Delivered,Asia,CN,373683,KE,715221,10965.93,13,11324.08,SLA breach,Email
COSCO,CR-921-C,SHP727322,2023-06-09,2023-06-17,0,0,0,Sea,88975.03,13296.02,Delivered,Africa,ZA,567885,KE,348628,6457.01,8,8617.69,SLA breach,API
TNT,CR-343-B,SHP649995,2024-06-15,2024-06-16,0,1,0,Air,2290.17,10168.51,Returned,Europe,IT,8862,DE,5604,1770.49,1,2432.84,Customs hold,API
ZIM,CR-755-C,SHP870563,2023-05-12,2023-05-14,0,0,2,Air,227.79,3940.3,In Transit,Europe,ES,5190,IN,593056,5577.17,2,762.27,Left at front desk,API
XPO Logistics,CR-690-A,SHP270585,2024-08-31,2024-09-01,1,1,1,Air,4447.24,5571.87,In Transit,North America,MX,18003,MX,75149,474.48,1,1266.07,Partial delivery,Manual
USPS,484487,SHP849455,2025-02-01,2025-02-02,1,1,0,Air,1817.25,27794.8,Delivered,Africa,ZA,263540,IN,816320,6369.91,1,6945.41,Documentation missing,API
CEVA Logistics,CR-744-A,SHP823935,2024-11-10,2024-11-17,0,0,2,Sea,55871.81,4593.21,Delivered,Latin America,PE,127446,US,88898,3173.13,7,2659.33,Partial delivery,EDI
Evergreen Marine,CR-125-C,SHP765902,2024-11-17,2024-11-26,1,0,0,Rail,29383.54,21227.15,In Transit,Europe,PL,5745,CN,556206,8587.41,9,7569.85,Customs hold,Portal
Kuehne + Nagel,420763,SHP455998,2024-10-31,2024-11-08,1,1,0,Road,3635.82,10427.8,Cancelled,Latin America,AR,818464,KR,519195,7575.83,8,4957.98,Partial delivery,EDI
TNT,CR-825-A,SHP662629,2024-04-16,2024-04-19,1,0,0,Road,3248.54,2183.84,In Transit,Asia,SG,360087,CN,381284,951.86,3,556.59,Partial delivery,Email
X.P.O Logistics,CR-638-B,SHP136766,2024-07-02,2024-07-07,1,1,0,Sea,87456.83,14687.22,In Transit,Africa,ZA,411400,NG,412433,3462.73,5,4542.59,Customs hold,Manual
Hapag-Lloyd,CR-586-B,SHP421226,2023-04-22,2023-04-25,1,0,0,Air,3056.95,73050.89,In Transit,Africa,KE,483474,ZA,223332,7358.64,3,13496.99,Left at front desk,Email
Rhenus,417320,SHP172039,2025-08-04,2025-08-05,1,None,0,Road,488.63,488.26,Cancelled,North America,CA,89829,MX,57708,1495.17,1,131.5,SLA breach,API
DHL,CR-123-C,SHP591641,2023-05-21,2023-05-23,0,1,0,Air,2139.42,30505.06,Cancelled,Africa,EG,966276,ZA,210549,9349.41,2,12001.37,Documentation missing,Portal
UPS,CR-433-A,SHP421534,2023-01-21,2023-01-27,0,1,0,Road,2173.13,4758.01,Cancelled,Middle East,SA,564303,AR,122510,6196.33,6,2423.78,Partial delivery,EDI
TNT,CR-124-A,SHP919749,2024-05-31,2024-06-03,0,1,0,Road,18026.33,7149.11,In Transit,North America,US,47647,MX,34163,1817.02,3,5895.76,SLA breach,Portal
USPS,CR-988-A,SHP128404,2024-01-27,2024-02-09,0,0,0,Sea,79789.21,15103.04,Delivered,Europe,IT,3870,CA,61137,9118.86,13,10913.79,Partial delivery,EDI
Royal Mail,613404,SHP902194,2025-09-27,2025-10-01,0,1,0,Air,1593.37,51030.27,In Transit,North America,US,45449,AR,791906,9402.24,4,8988.75,Customs hold,API
Evergreen Marine,CR-927-C,SHP632507,2023-04-09,2023-04-11,0,0,0,Air,4580.59,65115.3,Returned,Africa,EG,883350,US,35158,5373.37,2,14767.91,Customs hold,EDI
XPO Logistics,CR-320-A,SHP735410,2024-12-14,2024-12-18,1,1,0,Rail,32963.34,8000.0,Delivered,Africa,EG,280112,BR,93068,3027.8,4,2994.19,Documentation missing,API
Kuehne + Nagel,CR-682-B,SHP681737,2024-08-05,2024-08-10,1,1,0,Rail,32047.86,6627.96,Delayed,North America,CA,20806,TR,2839,5163.44,5,4964.31,Left at front desk,API
FedEx,CR-288-C,SHP426994,2024-10-16,2024-10-20,0,1,1,Road,842.27,539.61,In Transit,North America,CA,83455,MX,93906,969.32,4,146.96,Customs hold,Portal
DB Schenker,CR-573-A,SHP745425,2025-06-07,2025-06-11,1,1,0,Sea,47066.33,4283.49,Cancelled,Asia,JP,889491,SG,174240,1883.96,4,1330.06,Partial delivery,API
UPS,CR-167-C,SHP421506,2023-08-13,2023-08-17,Yes,1,0,Road,2254.03,$3169.74,In Transit,Europe,PL,6221,BE,9962,1672.58,4,678.61,SLA breach,API
ZIM Integrated Shipping,CR-880-C,SHP640888,23-05-2024,2024-05-27,0,0,3,Road,3177.42,USD 2824.42,Delayed,Europe,ES,2343,NL,3329,1585.64,4,906.88,Customs hold,API
US Postal Service,CR-427-B,SHP263548,2024-03-08,2024-03-15,1,1,0,Road,18788.4,69706.99,Delayed,Middle East,SA,142978,NL,2499,9570.38,7,32366.19,Customs hold,API
DHL,280178,SHP161876,2025-09-10,2025-09-24,1,1,0,Sea,49614.32,9737.15,Returned,North America,CA,21662,AR,976403,11738.93,14,8736.29,Documentation missing,Manual
COSCO,CR-861-C,SHP579781,2024-12-03,2024-12-10,1,1,0,Road,1598.77,3940.62,In Transit,Africa,EG,533256,NG,248278,6179.72,7,1778.39,Documentation missing,Email
Rhenus,940445,SHP511784,2023-03-16,2023-03-21,1,0,0,Sea,61278 g,2957.16,Delivered,North America,US,93547,MX,22965,1988.78,5,1828.03,No issues,Manual
FedEx,CR-527-A,SHP148820,2023-12-25,2024-01-03,0,0,0,Road,18458.59,74687.11,Cancelled,Middle East,TR,8960,SG,794972,8661.3,9,28777.57,Left at front desk,Manual
CEVA Logistics,CR-312-B,SHP677521,2024-05-10,2024-05-11,0,0,0,Rail,34290.71,886.8,Cancelled,Africa,NG,603885,NG,656054,328.79,1,338.23,No issues,Manual
Nippon Express,CR-461-A,SHP544671,2024-06-14,2024-06-16,0,0,0,Air,2577.71,5814.35,Cancelled,Europe,PL,5481,DE,1287,934.89,2,1445.92,No issues,API
USPS,CR-712-A,SHP929529,2023-02-03,2023-02-04,1,1,0,Air,3056.54,67705.34,Delivered,Latin America,BR,59825,CO,572787,7917.89,1,14520.83,No issues,API
R. Mail,CR-733-A,SHP746298,2024-10-09,2024-10-11,1,1,0,Rail,13794.41,2881.43,Returned,Asia,JP,419620,CN,630783,1422.93,2,588.85,Left at front desk,Email
UPS,CR-114-C,SHP516263,2023-07-09,2023-07-18,0,1,0,Rail,32310.89,11573.5,Returned,Middle East,TR,5736,CN,253129,9778.85,9,9478.9,No issues,Portal
Kuehne + Nagel,CR-275-B,SHP487573,2025-05-16,2025-05-19,1,0,2,Rail,32333.17,2685.66,Cancelled,Europe,BE,3691,SE,6599,1024.97,3,994.22,No issues,Portal
FedEx,CR-348-C,653828,2024-10-15,2024-10-23,0,0,0,Rail,14934.11,8204.99,Cancelled,Africa,ZA,884813,SG,916802,6235.99,8,2793.87,SLA breach,Portal
DB Cargo,277393,SHP628536,2023-10-06,2023-10-09,1,0,0,Rail,31425.55,3751.31,Delayed,Asia,SG,133217,JP,399013,1714.62,3,1616.49,Left at front desk,Portal
D.H.L,CR-617-A,SHP554040,2025-08-15,2025-08-24,1,0,3,Road,1507.69,5753.22,Cancelled,Europe,PL,9798,EG,531420,9402.59,9,2551.71,SLA breach,Manual
Rhenus,CR-154-B,SHP752714,2024-03-14,2024-03-15,1,0,0,Road,3733.65,1247.87,Cancelled,North America,CA,18465,CA,72666,432.08,1,290.38,Customs hold,Portal
SF Express,CR-357-C,SHP993047,2024-03-15,2024-03-19,0,1,3,Road,3936.91,N/A,In Transit,Asia,SG,613035,CN,541959,1374.82,4,974.26,No issues,EDI
SF Express,CR-938-C,SHP563791,2024-10-21,2024-10-29,1,0,0,Sea,79279.55,$6732.25,Returned,Africa,KE,762845,NG,960576,4394.47,8,5225.88,Left at front desk,Manual
YRC Worldwide,CR-532-C,SHP776953,2023-10-23,2023-11-03,1,1,0,Road,2444.38,21707.09,Returned,Middle East,AE,182302,MX,27460,10681.42,11,4699.71,Partial delivery,Email
UPS,CR-326-A,SHP865496,2023-07-21,2023-07-23,0,0,0,Road,3854.77,3217.89,Returned,Europe,NL,7943,FR,3533,1696.04,2,1176.81,SLA breach,Portal
SF Express,CR-772-B,SHP681494,2024-07-25,07/27/2024,0,1,0,Road,3700.74,1925.06,Delayed,Asia,KR,199837,JP,599432,1097.38,2,731.0,Left at front desk,EDI
